A[cm^2],R[cm],Hv[cm],theta[deg]
3.0,1.5189639324087723,1.3296835000518836,67.17306410016083,2
6.0,1.4830871792774,2.3725231621566683,70.73052002904785,1
9.0,1.7200202977450594,3.1192549171688477,54.483068891761775,1
12.0,1.9559998566566323,3.7219923307357416,45.70440883472319,1
15.0,2.1747254082284755,4.238886037853666,40.072725767309436,1
18.0,2.3769124323066135,4.697774923703054,36.086034803363226,1
21.0,2.56502216989327,5.114286865561065,33.07964036545693,1
24.0,2.7413085309783196,5.498165009853203,30.710801503411233,1
